population,population_density,vulnerable_population,sos_count,medical_emergency_count,injured_people,food_supply_days_remaining,water_supply_days_remaining,medicine_supply_days_remaining,shelter_demand,distance_to_nearest_hospital_km,distance_to_nearest_warehouse_km,accessibility_score,accessibility_risk,rainfall_mm,flood_risk,landslide_risk,weather_severity,road_blockage,connectivity,disaster_severity,request_age_hours,priority_score,priority_level
18931,441.5600834651759,3312,194,13,49,4,6,6,6299,103.17048315789148,187.43317119929048,25,75,348.6322901017931,8,9,8,6,2,8,63.96060648683712,28.717939994427816,LOW
3247,171.74869616888458,755,12,0,1,11,10,11,429,121.46575787039352,163.8598204507399,94,6,13.528515028607702,1,1,0,0,9,3,13.014267687189376,0.0,LOW
689,17.261348032830565,141,1,0,0,10,8,12,59,86.4721586550194,169.07163716215274,82,18,161.73202373901688,4,2,5,0,5,4,70.5609661073852,1.0132118488581923,LOW
19618,1709.4256319704868,1896,185,98,135,6,6,2,3675,112.4280649746879,27.72460309717402,26,74,313.89404563443975,10,8,7,5,7,10,71.17546543822581,44.01128553038714,MEDIUM
36273,4867.466664263644,2046,145,34,52,7,4,3,8889,100.9697452711758,150.36782549453355,13,87,325.9468059861785,8,9,7,9,1,8,28.984673448742353,43.459677359270394,MEDIUM
2399,134.46708332815587,290,2,0,1,9,6,7,34,56.55182058704111,192.38417103199728,24,76,370.9330460696045,8,8,10,7,2,5,71.1292066932068,10.940329514011454,LOW
1767,18.311652081460412,284,17,4,8,7,5,4,549,122.28448815986697,138.92399486945052,45,55,281.11774392720093,6,7,6,4,7,9,62.63839898557193,10.998421497711188,LOW
32051,560.2801958687243,6547,194,54,64,6,7,9,10029,47.73169863340156,118.40666687867522,48,52,98.0615784418974,7,5,4,4,3,8,6.393764801686591,28.775005009288357,LOW
11894,122.93145488143087,3122,107,33,52,6,4,4,1890,87.82587307396999,189.6696387723094,48,52,202.26629723375126,6,6,6,4,3,8,68.2339922994462,21.148704091834034,LOW
4056,88.00689424572154,401,46,8,9,5,4,8,212,113.08267217552323,94.15805312954284,78,22,12.938115167559028,2,4,0,1,1,6,3.539778592178487,9.411801497677972,LOW
4390,126.79603902041336,357,14,2,4,8,4,6,56,59.9486069228136,123.86577759899096,15,85,258.77133643929875,8,7,4,10,10,9,13.506872002346162,12.311044167141102,LOW
42106,793.2035051874306,12247,34,9,12,5,7,4,10732,48.90130310452663,100.50427576392957,44,56,221.7180846035027,6,6,4,5,9,8,42.29858117053721,21.24035869680698,LOW
31240,668.1836914684951,2405,30,10,20,12,10,9,1680,71.6051714750593,187.24078205845683,47,53,266.73451230451724,5,6,6,5,0,4,6.272708255600972,5.445363762100355,LOW
15002,997.5964452494654,2544,58,8,16,13,11,7,1391,123.60470668062727,24.456098085446378,37,63,372.0562213550382,6,7,9,6,6,4,12.063534624739878,12.67455185385677,LOW
22277,338.15281215136105,4375,225,100,114,7,5,6,3012,139.8386556561214,105.21274315681616,37,63,274.9106446881726,6,7,7,6,3,7,68.67466277852506,46.9414870435161,MEDIUM
11127,435.9490072656853,2062,120,5,20,4,5,5,875,84.03709486468406,140.52096386323328,54,46,128.17997214990447,6,4,2,4,5,9,71.62018376946398,18.178357063946113,LOW
9292,145.50384419253393,664,28,3,5,8,12,11,708,100.91259977192952,160.462242300225,84,16,79.4946655480627,1,3,1,1,7,3,57.566762737291256,7.583596723166885,LOW
43823,656.3365017721646,2815,270,109,140,6,5,4,8056,135.97467522464257,120.77354301438591,16,84,341.8544827274619,7,9,8,9,10,8,37.33747148972625,58.976276261322354,MEDIUM
43521,2238.4626997871437,3323,179,87,109,9,9,10,8149,19.28929345487665,182.69437138307626,70,30,77.73285730950423,2,4,1,3,6,6,64.87151690195478,34.48828512556825,LOW
8933,824.9744163918544,1754,43,10,15,9,10,9,675,38.65139379059393,188.97837490793563,85,15,64.64383223814556,3,2,2,0,6,6,8.500762118175162,9.375612625467747,LOW
43501,549.4468665929231,8094,109,16,29,13,10,14,933,107.79050090647945,22.220652406780868,97,3,82.64483227239032,1,0,3,0,5,2,67.91676865101813,8.499062688447745,LOW
11516,236.56026943851742,1248,14,4,10,14,10,10,1406,124.44294697728346,86.45040251286113,71,29,203.5363392522027,4,3,4,2,10,3,25.6360343130634,8.429166778607811,LOW
24397,2317.8812976988584,5109,229,22,24,9,8,6,5139,129.26920910793382,14.457214127019343,82,18,49.674977263782736,4,2,1,0,3,6,62.0964914731734,24.009858039167305,LOW
3112,31.272516019620706,793,37,10,21,2,1,5,1201,65.19054064396522,72.58916490114416,22,78,375.2473322386809,10,8,8,6,3,10,48.288698527955454,17.682672866928733,LOW
23983,2286.4571930912193,1448,146,67,80,8,5,6,1478,17.954285832320693,112.00496141441441,12,88,386.50148289603584,10,10,8,7,8,10,69.15961273998413,46.902118691921686,MEDIUM
49055,690.6397551175895,8561,206,25,113,10,10,8,2198,68.47831420844489,183.0510367968903,22,78,389.52074131319955,7,7,10,9,10,4,62.324473267401004,33.940750244576385,LOW
17659,179.371153501796,3926,68,19,50,12,11,13,1016,38.456515580022796,170.84532126842655,82,18,15.649921927887922,0,2,0,3,4,2,63.98469366888979,6.3181425649822796,LOW
45474,1640.3513355655014,5142,0,0,0,12,12,12,0,47.2234859745105,34.22494806767729,39,61,378.4790105920127,4,7,10,7,8,0,45.67043646258218,0.031529399355040066,LOW
41494,2241.2603831722786,5267,119,20,28,7,7,8,11105,116.97879574143835,27.675771200770185,24,76,398.9659730469701,9,7,10,7,10,6,60.070834964803716,24.926293154254083,LOW
15041,909.8349816022587,3059,71,9,20,8,10,10,3128,15.951427473753595,121.96079436376674,48,52,376.9716437381948,6,6,9,4,8,5,54.634877279435706,12.224730442307429,LOW
36420,1077.1598075893994,9996,430,31,134,6,5,3,711,124.9992765347018,111.10241476716871,29,71,268.37556230508244,9,8,7,5,3,9,12.056053859627939,51.20731648368216,MEDIUM
27031,1851.5205274048383,6824,81,0,1,11,9,7,6656,67.01201744450452,60.611751871704534,36,64,280.4920609634003,6,6,7,7,1,6,46.874677731756876,12.251490973218942,LOW
2085,29.467745748911074,408,3,0,2,14,13,10,93,91.42927000958629,180.8960860652287,89,11,48.90117594937906,0,1,0,2,1,1,11.094551576191343,2.0884625572340876,LOW
4443,406.9530694448767,1033,17,0,1,11,11,12,37,17.999573529173453,186.19961779769517,36,64,349.718830829985,5,7,9,7,8,3,62.66611271481539,8.059326152502965,LOW
24439,457.7011561894706,3450,43,8,24,10,12,14,508,53.917066361805546,86.49617328463091,97,3,23.8558338515086,1,0,0,0,8,1,5.215410652807746,0.0,LOW
19957,200.19821977938994,4195,101,47,58,9,8,7,3748,18.006633257152636,179.15748585156885,61,39,127.09221864705592,6,3,2,3,2,7,71.07383691881918,21.8292227770849,LOW
1521,18.47506596525642,253,15,5,10,3,6,7,106,144.4238398177609,82.9502899099648,37,63,396.4606580592748,6,7,10,6,4,6,29.14480662884637,7.916056085806836,LOW
12153,191.5491816272929,1184,0,0,0,13,14,14,0,122.05293915230631,149.99519804764302,88,12,168.9311516411981,2,2,3,0,4,0,12.699998789652646,1.6300445308145948,LOW
44073,1292.6872329462296,9935,25,13,14,14,14,9,1952,71.64674938168673,100.42902133406758,82,18,52.46248958610349,2,0,2,3,1,1,67.40076133177745,9.14658665132574,LOW
13917,216.53924666208968,2631,25,3,6,14,12,10,603,37.42236950693231,33.29079973636477,49,51,387.71786481963204,6,7,10,3,1,1,3.7479580154341283,6.629656419552978,LOW
41257,749.1882120037386,5761,34,18,20,11,11,12,5816,140.35099026122856,186.3074982350341,51,49,393.65585881669443,3,8,9,4,9,3,34.11255286739232,8.153404403249016,LOW
10192,224.10874707227336,2831,38,4,10,12,12,11,493,54.966506380410905,96.27835274173195,82,18,74.81707409548575,3,3,2,0,0,2,55.57123964660194,8.28998429065281,LOW
46258,2655.8368157654127,2554,0,0,0,13,11,14,0,28.34274259466934,149.55253766125668,64,36,345.92152349606835,4,4,8,3,1,0,23.14765899336662,0.0,LOW
7373,82.63156791516866,950,14,0,1,11,13,10,245,86.65883632582346,79.76302474194551,91,9,156.1693304775567,2,1,3,0,10,1,38.31167889805028,8.425340390803392,LOW
6175,129.37480202157317,396,69,10,17,5,4,5,1286,141.84724744999835,13.587366929484585,39,61,152.5473857946858,7,4,4,7,6,10,50.57953066643684,17.455623792797333,LOW
661,28.140665803450684,159,8,2,3,5,4,5,11,5.555392122546773,29.100768151448822,75,25,105.07905275876067,3,4,4,1,0,8,68.56631410159444,4.626769375272811,LOW
37565,940.6031971158517,8471,0,0,0,14,12,14,0,39.528102271829816,104.28170110308564,94,6,17.884109821958603,1,1,1,0,0,0,7.843238707878642,0.0,LOW
27057,610.18449282201,3594,225,111,134,2,4,8,3041,141.0749078595091,141.09322785400886,47,53,107.20359347408942,7,4,2,5,8,8,11.741709315616763,49.02315653635009,MEDIUM
34263,409.76558303590735,7500,308,30,51,11,9,6,504,29.807465194288497,73.59971205006303,94,6,21.51076213322081,1,1,0,0,1,6,36.88426900637578,26.7602398120523,LOW
33106,443.22543895047954,4932,52,1,6,8,12,14,34,21.42030048777388,142.14280724375357,32,68,369.74881854398535,5,7,7,8,10,1,30.420959722228353,14.359843286894094,LOW
12034,154.1161494045453,2876,4,0,0,14,14,14,560,87.67714629097165,142.74076199207164,82,18,264.6882689570914,3,3,7,0,3,1,29.871925488882148,3.0753516517137696,LOW
29627,4898.6683810643035,4845,106,34,41,12,13,8,1493,129.96735437775033,143.74782239228787,28,72,354.6490600065566,6,6,9,9,10,4,21.732747459934952,25.998757128962275,LOW
40897,918.3190734670563,6260,146,24,62,10,11,11,3663,74.1809235656193,103.5791522638966,55,45,286.91627258822825,6,5,7,3,2,4,40.58896309339036,17.317532576834637,LOW
26351,519.4598396180589,7475,23,1,7,10,10,8,3757,149.2118172192561,183.82836852308574,97,3,52.5147484330557,1,0,2,0,10,3,63.65511603584871,0.7837140684646213,LOW
1516,222.18098103573388,170,12,5,6,5,0,6,318,103.47989643300896,102.94733841631697,3,97,376.23261469411915,9,10,7,10,3,9,12.006090348457267,15.550620318219972,LOW
24753,833.9326018565481,1983,363,121,124,3,2,7,875,15.740861545514923,95.55038676436125,13,87,359.9572214531068,10,7,7,9,10,9,15.892972558946672,68.38688795207754,HIGH
24776,320.81822342979973,4859,33,6,24,12,14,11,1367,148.96065909388642,47.882355612019126,63,37,139.23043116041427,3,4,5,4,10,2,48.46388009267038,8.74274594031892,LOW
23747,1317.4171423946593,6941,65,12,13,12,9,7,314,64.14466433312762,68.45446659770394,80,20,44.6133361406706,2,2,0,2,6,3,4.518132281542248,11.973182719022457,LOW
24800,444.0110762023682,3582,429,104,215,6,7,5,1061,46.67336740759497,18.043553578477635,18,82,281.66190031554953,7,7,7,10,9,9,48.67414026875496,72.19932256252942,HIGH
9029,354.85524650062354,591,4,0,1,8,7,9,1153,85.89248161879341,130.37170578707236,59,41,291.344521094689,6,5,6,2,1,3,22.98361478672862,4.464748975171045,LOW
17762,2887.4382270772458,2394,21,2,4,12,14,14,257,49.12460081402533,57.22179134614765,42,58,358.7316179362829,4,6,8,7,1,1,26.08655609510107,3.8177234552619064,LOW
9768,349.9301979107572,1723,59,17,19,12,11,10,1325,17.536338532422086,67.78949835223837,97,3,21.062303780431968,0,1,2,0,8,4,29.496780228337368,9.90523439640133,LOW
21771,222.81694951754164,1969,134,32,39,10,7,10,2215,5.207109746480624,156.45475911622103,65,35,56.68153521094874,3,2,1,5,5,4,25.495510646657614,11.822509712316768,LOW
12685,156.32312120884401,2721,74,2,10,12,11,12,564,70.18958617343803,72.17202480067624,53,47,239.29951715167292,5,4,6,5,10,4,60.64648792148655,8.312602693698771,LOW
21743,226.11324325295183,6510,321,30,122,0,0,7,5629,126.34519622285588,56.01721948249701,32,68,247.65262034803303,7,5,6,8,6,10,68.1438947041221,53.529589237183984,MEDIUM
39599,771.2167748905123,6452,83,15,25,3,5,4,1366,87.9857019163611,42.12097233540409,66,34,13.443864926002513,2,4,0,4,4,10,39.68282048510747,17.717311084884486,LOW
9071,588.0736432010465,1257,91,3,12,8,3,1,1417,149.88505834679893,157.22309641457161,53,47,158.77282042466337,5,8,4,2,4,9,42.10431266669816,23.488905058147278,LOW
40476,709.4064175305658,6078,0,0,0,14,13,13,0,46.592763618843996,34.64418901810511,74,26,233.66469251041963,2,4,3,2,3,0,5.5395422229606135,0.0,LOW
38544,800.2350747303153,3036,53,16,17,11,7,10,2200,45.665984390208024,96.21321444756717,55,45,295.16453326069353,5,6,7,3,7,5,51.49322287781155,12.408597989285434,LOW
49716,583.4257869048683,13464,61,2,6,3,6,8,16410,28.16367173392191,106.31672205466694,32,68,126.46027671133142,7,5,2,8,6,10,42.263069416932005,9.682545843473605,LOW
49484,3456.1066554986596,7606,81,4,8,14,14,13,128,28.7892202984736,140.60408341028577,69,31,193.56139720873657,3,2,6,4,9,1,4.1032084522434245,8.610498796729988,LOW
41274,803.2632171439024,6059,359,93,185,10,9,8,6003,46.35205642145693,130.32386164326914,40,60,325.6219489248037,6,6,7,6,1,6,14.687435195626785,47.166659882110416,MEDIUM
3068,159.33835613130373,659,8,2,4,11,11,10,329,119.96180656466143,164.03692785958322,51,49,381.55802555909617,4,7,9,4,1,3,14.938954558068236,0.0,LOW
2527,70.49952515776674,405,19,4,14,10,10,10,217,136.33473464228493,18.50277244598525,80,20,92.1258701559382,4,0,4,2,5,4,12.724208563950185,0.0,LOW
3195,42.57223021832805,677,19,0,1,11,10,8,558,146.38763960761378,66.32373770808547,91,9,101.21688232795849,3,0,3,0,10,4,47.59318575552856,5.9397249180358,LOW
48690,969.500801243194,3182,377,31,35,10,14,8,6156,38.68199984398563,63.22548256732215,30,70,375.9272749735502,7,7,8,7,0,4,66.88343249793748,40.16274519441112,MEDIUM
5758,141.44157924640785,1459,10,0,0,14,14,13,275,132.7881441140433,37.74321206250056,84,16,158.36446030507344,2,2,4,1,6,1,55.05273576312269,0.0,LOW
22502,529.76737919556,6415,91,31,38,9,9,10,1278,52.59698794521387,64.9438682327242,58,42,287.33932980829707,6,4,5,3,7,4,34.632204192794795,14.315023483109258,LOW
40004,822.3248239620111,8488,122,49,60,14,12,11,3755,21.36187895494824,68.85540968715165,66,34,244.9060914919505,3,3,6,4,9,2,29.389667805890458,4.990718992210825,LOW
33659,422.97625162717367,9715,138,24,44,11,11,14,3063,131.15361420042402,109.15804776622088,61,39,114.23507191762252,3,2,2,6,7,3,28.13175452960941,9.418732017661767,LOW
14486,161.4074148074875,1272,23,10,14,9,13,11,539,97.2353170233247,136.10385099598864,79,21,261.42488878320995,4,3,8,0,2,1,43.48915747525149,7.98507622748855,LOW
13166,137.49415871786132,2229,63,17,34,11,10,7,1781,28.88597993175395,82.40909758624467,39,61,262.2263603827893,5,6,6,7,6,3,26.18427711453435,15.40344110856014,LOW
39160,490.99864020110465,7849,122,26,96,8,8,5,8633,67.32553233938538,146.69934394954242,58,42,236.9772741636305,5,5,6,3,0,8,16.667720939993274,23.601749950194474,LOW
4061,116.14918374073217,793,15,0,1,7,7,8,1225,46.652365757174806,73.87141433012019,56,44,39.86432993980515,4,4,1,5,10,7,43.60326782015418,11.449206811430722,LOW
27354,388.7013325560329,4113,165,2,7,4,4,4,7408,111.83521246297856,65.15389868980446,8,92,398.0687289496151,10,10,10,8,2,10,28.43543706007148,33.090903639865594,LOW
39452,847.1130419422337,5307,130,14,28,11,14,12,2363,70.74535344051887,112.82573061283462,74,26,160.16658446833097,4,2,3,2,5,2,1.5099252837841195,16.48672726866763,LOW
23162,793.3901076127024,1892,0,0,0,13,14,13,0,148.44559204042582,14.506108458100215,67,33,255.30039415879554,3,4,6,3,8,0,2.0895246200243798,2.586005370301052,LOW
8892,104.7562049701177,1315,0,0,0,12,14,14,0,12.938022427641293,25.15993349046007,42,58,354.3046776450477,5,5,8,7,4,0,20.10076769754091,1.3419754697715582,LOW
31035,3587.652585838593,2813,186,22,45,10,10,13,4294,56.47721358975577,89.41421328144014,74,26,169.31539536793454,3,3,6,2,4,5,37.13818726474076,24.63892815293212,LOW
13567,149.63483686689767,3169,45,14,19,13,11,11,1326,74.87552423094672,189.15341516443374,64,36,309.57002272221945,4,4,5,3,8,2,25.828124798261193,9.87479153936292,LOW
48533,993.7068616045023,4960,101,15,25,12,10,6,5730,77.95436543850637,147.0872381702505,37,63,388.7297698717624,6,7,9,6,8,3,2.219943395709965,17.641466452090217,LOW
24099,367.7319926814033,1557,0,0,0,14,13,14,0,50.81069424591733,26.744048205105972,71,29,143.5739041012193,2,1,3,5,5,0,16.455351108356687,0.0,LOW
35722,528.1302105486208,6719,254,8,30,6,6,4,8043,110.73983611914736,170.800422428366,53,47,162.10782809309467,4,5,4,5,4,7,7.393980570235053,27.667312662226283,LOW
12337,137.02268648650653,2452,0,0,0,14,12,13,0,131.83832565590134,149.13714641555438,51,49,362.23042359862745,5,6,9,4,9,0,68.32718809734128,0.0,LOW
14539,222.02498950269467,3896,93,33,45,11,9,11,493,141.11429878679013,126.0798398835041,72,28,63.8571471260732,2,2,1,4,1,4,22.867636407439644,7.8900727215673685,LOW
31318,494.57003732561265,6083,124,92,96,8,6,11,1758,121.7385396359313,165.8556625157437,87,13,11.437935343776928,2,1,0,1,10,5,1.555795569077955,14.622697151113666,LOW
19615,1730.9475103291754,2674,4,0,1,10,14,12,6,128.3341286094569,86.78087107116185,65,35,363.55560193964476,4,5,9,2,7,1,47.73027251697494,2.446797660329628,LOW
11465,211.341228064881,2874,90,16,38,9,6,7,2316,84.82906858989935,52.08519966223202,30,70,328.6366296470321,8,6,8,7,7,6,17.120027746308924,23.578939663463537,LOW
25038,1299.5914264299083,4633,253,2,7,7,12,11,6098,124.75379283188812,107.28444393066427,27,73,389.0332130205328,8,7,10,7,6,6,41.02164223471679,29.636600789048064,LOW
43030,573.3036764079163,3004,0,0,0,14,14,12,0,49.008066826453074,114.27993356276002,91,9,23.2951130842713,2,1,2,0,7,0,11.278300004578382,3.9745076406066375,LOW
5556,103.53872384814937,1063,15,0,0,9,9,11,76,62.779420505836086,112.28201068188329,83,17,62.470932176394896,2,1,1,2,2,3,70.85694631125622,2.289745331813187,LOW
32982,473.73202443933405,9136,33,20,23,10,9,10,1660,50.952387003688926,117.36402038122,88,12,42.12502363592354,3,1,0,0,2,3,69.87353183942132,10.443244186284204,LOW
48216,5381.895372610581,7187,353,64,152,9,11,8,2816,72.7711636399492,190.25393446544436,55,45,273.3664529174837,5,6,6,3,1,4,47.40280964585687,47.90302103975354,MEDIUM
8610,659.505225080684,1068,0,0,0,8,14,12,0,46.40904435460227,181.42666838828396,85,15,242.40402949885728,2,3,4,0,0,0,51.064987460277344,5.553826375610885,LOW
14273,195.38479066901476,1225,0,0,0,8,14,14,0,144.43365912689478,176.3862369461985,90,10,143.73407975490386,1,1,4,1,2,0,30.950340727353073,0.0,LOW
27766,2343.5155355832353,2439,274,61,218,8,6,3,2829,50.36247106082188,162.26919407263915,74,26,22.969391760898006,3,3,0,2,2,6,69.29582319739907,27.74008534251425,LOW
17912,1521.9141614261437,2833,281,64,68,7,6,7,6502,19.216458026086276,189.25134038040423,19,81,255.86479361861637,7,8,6,9,6,8,30.797382856540867,41.726913233545694,MEDIUM
33770,5490.784471847963,6717,0,0,0,13,14,12,0,81.38848907730994,28.713981919086617,81,19,228.04819404602264,2,3,6,1,9,0,17.621961814676308,3.4813261815992838,LOW
7410,77.29407497196485,519,9,0,0,11,12,13,291,13.279366374550573,60.3734196746905,94,6,45.1612844242463,0,2,0,0,8,1,8.749570586679136,2.3377182556929257,LOW
45953,612.1900260468865,13091,162,30,77,6,7,8,7189,21.028759114744176,104.06062967437113,18,82,363.56388178948566,7,7,8,10,0,5,15.38095897247857,34.49481258243806,LOW
25946,672.8929221447368,6195,18,0,1,13,9,9,2189,36.81146143345571,170.841553693447,79,21,79.57988386879622,3,4,1,0,7,5,41.41326553090363,6.737902481795684,LOW
706,21.283728235972255,138,0,0,0,13,11,12,28,72.33078623291054,105.98148518931917,52,48,297.40366085754255,2,6,7,6,0,1,18.024057832659885,0.0,LOW
22018,576.0585861447449,5661,213,106,156,7,2,3,5240,67.82138518480905,152.12660047490186,41,59,354.0303450171793,6,7,8,5,2,8,47.278834133999446,46.91051498413199,MEDIUM
22861,290.8817073061607,1601,26,17,19,12,14,12,29,120.95531999040472,36.402381997294086,46,54,231.78999627748337,2,4,4,9,3,3,27.826193171780837,8.593907679081122,LOW
23919,352.6304973408419,4047,255,13,22,10,5,9,493,112.22382481319644,57.958624465546436,66,34,98.73956211930053,2,4,1,4,10,6,63.91141273733297,23.742418644724978,LOW
49202,2177.698367953406,10210,112,10,50,9,6,13,9257,66.8161526286517,149.03745805715775,81,19,123.69940705005655,2,3,2,1,7,5,40.43118182378878,12.577590401924589,LOW
42023,1950.8934672106343,10806,458,13,35,2,3,3,9382,53.38711009846634,41.29946168866757,32,68,354.29901348753293,8,8,8,5,0,10,45.01618979674124,55.05332896528339,MEDIUM
45651,3181.789445296882,11224,489,209,223,6,4,4,9255,50.88797368891729,76.75762758443608,43,57,119.30286255059386,6,5,3,6,1,10,40.294025913976405,76.88198092509302,HIGH
22903,338.1576829495594,2731,57,7,37,11,14,11,333,117.2292876576313,60.32458898457857,82,18,298.4761933269217,3,3,7,0,10,2,63.81816735465823,5.152731445468538,LOW
18641,240.17140027424276,5316,94,20,40,6,6,7,1026,12.550498902084112,76.47372190227091,23,77,396.0660849021621,7,8,9,8,4,7,5.034499106937181,25.52083429351954,LOW
15320,507.6308532635442,1242,161,93,112,4,8,6,3666,6.859139179037845,144.58156932481435,42,58,399.9266877450711,6,8,9,4,5,6,5.315432556988277,41.88675269967234,MEDIUM
40842,5843.109632507717,10977,308,171,197,4,8,7,13543,120.35393682936397,79.8909644171322,45,55,213.39189930773256,6,7,5,4,4,8,50.67442751211951,56.822984824629955,MEDIUM
6874,536.7667074527467,2012,19,2,4,12,13,11,384,74.18622451841215,115.50003129550863,67,33,330.62231871443913,5,6,8,0,2,2,55.40941899644475,0.27602781544849453,LOW
2178,22.465952174044656,205,0,0,0,13,14,14,0,23.977765090268516,28.987056640337833,57,43,396.0999471684798,4,5,9,4,9,0,31.5016434071607,4.614100120476113,LOW
34327,1038.0964849686359,7912,11,0,0,11,12,14,1600,39.157060516202684,162.95336171457927,70,30,149.86915593679288,2,4,2,3,6,1,25.689822375879828,10.797768484286042,LOW
16698,213.8679931185768,1003,214,27,67,3,6,5,5209,140.21307319912046,80.27883887314373,54,46,100.96383402812235,6,4,2,4,0,10,20.37307223368704,30.468411091786894,LOW
